Tanggal,Hour_Created,Hour_Update,cctv_id,type_object,type_validation,"Jumlah Deviasi"
2022-11-19,14,NULL,2,Person,not_yet,650
2022-11-19,14,NULL,5,HD,not_yet,1241
2022-11-19,14,NULL,5,LV,not_yet,218
2022-11-19,14,NULL,5,Person,not_yet,53
2022-11-19,15,NULL,1,HD,not_yet,601
2022-11-19,15,NULL,1,LV,not_yet,2
2022-11-19,15,NULL,1,Person,not_yet,170
2022-11-19,15,NULL,2,HD,not_yet,989
2022-11-19,15,NULL,2,Person,not_yet,78
2022-11-19,15,NULL,5,HD,not_yet,722
2022-11-19,15,NULL,5,LV,not_yet,294
2022-11-19,15,NULL,5,Person,not_yet,883
2022-11-19,15,19,2,LV,false,9
2022-11-19,16,NULL,1,LV,not_yet,58
2022-11-19,16,NULL,1,Person,not_yet,492
2022-11-19,16,NULL,2,HD,not_yet,2073
2022-11-19,16,NULL,2,Person,not_yet,112
2022-11-19,16,NULL,5,HD,not_yet,577
2022-11-19,16,NULL,5,LV,not_yet,73
2022-11-19,16,NULL,5,Person,not_yet,191
2022-11-19,16,19,2,LV,false,2
2022-11-19,17,NULL,1,HD,not_yet,3
2022-11-19,17,NULL,1,Person,not_yet,36
2022-11-19,17,NULL,2,HD,not_yet,1251
2022-11-19,17,NULL,2,Person,not_yet,246
2022-11-19,17,NULL,5,HD,not_yet,342
2022-11-19,17,NULL,5,LV,not_yet,167
2022-11-19,17,NULL,5,Person,not_yet,28
2022-11-20,6,NULL,1,HD,not_yet,175
2022-11-20,6,NULL,1,LV,not_yet,3
2022-11-20,6,NULL,1,Person,not_yet,26
2022-11-20,6,NULL,2,HD,not_yet,559
2022-11-20,6,NULL,2,Person,not_yet,76
2022-11-20,6,NULL,5,HD,not_yet,319
2022-11-20,6,NULL,5,LV,not_yet,61
2022-11-20,6,NULL,5,Person,not_yet,1
2022-11-20,8,NULL,1,HD,not_yet,848
2022-11-20,8,NULL,1,LV,not_yet,350
2022-11-20,8,NULL,1,Person,not_yet,1914
2022-11-20,8,NULL,2,HD,not_yet,901
2022-11-20,8,NULL,2,LV,not_yet,62
2022-11-20,8,NULL,2,Person,not_yet,514
2022-11-20,8,NULL,5,HD,not_yet,1436
2022-11-20,8,NULL,5,LV,not_yet,396
2022-11-20,8,NULL,5,Person,not_yet,27
2022-11-20,9,NULL,1,HD,not_yet,64
2022-11-20,9,NULL,1,Person,not_yet,3127
2022-11-20,9,NULL,2,HD,not_yet,1680
2022-11-20,9,NULL,2,LV,not_yet,26
2022-11-20,9,NULL,2,Person,not_yet,226
2022-11-20,9,NULL,5,HD,not_yet,1923
2022-11-20,9,NULL,5,LV,not_yet,968
2022-11-20,9,NULL,5,Person,not_yet,58
2022-11-20,10,NULL,1,HD,not_yet,1195
2022-11-20,10,NULL,1,LV,not_yet,92
2022-11-20,10,NULL,1,Person,not_yet,1525
